"wifiradar","device","signal","timestamp","networks"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:56:48","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:56:46","TP1"
"C0A0BBED842E","80EA96A50A26",-63,"2014-12-19 11:56:37","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:56:32","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:56:27","TP1"
"C0A0BBED842E","4C8D79A35362",-48,"2014-12-19 11:56:18","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:56:12","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:56:05","TP1"
"C0A0BBED842E","F8D11121AE96",-69,"2014-12-19 11:55:59","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:55:56","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:55:45","TP1"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:55:40","TP1"
"C0A0BBED842E","25D3E11750",-65,"2014-12-19 11:55:39","Alice-56283694"
"C0A0BBED842E","25D3E11750",-64,"2014-12-19 11:55:36","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:55:28","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:55:25","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:55:07","TP1"
"C0A0BBED842E","4C8D79A35362",-48,"2014-12-19 11:54:52","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-75,"2014-12-19 11:54:52","TP1"
"C0A0BBED842E","28CFE95AFE2F",-45,"2014-12-19 11:54:47","u-hopper-cisco"
"C0A0BBED842E","25D3E11750",-63,"2014-12-19 11:54:40","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:54:39","TP1"
"C0A0BBED842E","25D3E11750",-61,"2014-12-19 11:54:35","Alice-56283694"
"C0A0BBED842E","B4B676593D91",-67,"2014-12-19 11:54:26","kantoor"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:54:24","TP1"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 11:54:04","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:54:02","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:54:01","TP1"
"C0A0BBED842E","F8D11121AE96",-69,"2014-12-19 11:53:55","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:53:47","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:53:36","TP1"
"C0A0BBED842E","25D3E11750",-63,"2014-12-19 11:53:35","Alice-56283694"
"C0A0BBED842E","25D3E11750",-63,"2014-12-19 11:53:31","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:53:31","TP1"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 11:53:22","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:53:19","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:53:14","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:53:06","TP1"
"C0A0BBED842E","F8D11121AE96",-45,"2014-12-19 11:53:00","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:52:49","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:52:44","TP1"
"C0A0BBED842E","4C8D79A35362",-54,"2014-12-19 11:52:33","tasid-netgear"
"C0A0BBED842E","25D3E11750",-58,"2014-12-19 11:52:29","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:52:28","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:52:24","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:52:12","TP1"
"C0A0BBED842E","F8D11121AE96",-63,"2014-12-19 11:52:07","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:51:53","TP1"
"C0A0BBED842E","4C8D79A35362",-61,"2014-12-19 11:51:50","tasid-netgear"
"C0A0BBED842E","25D3E11750",-60,"2014-12-19 11:51:27","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:51:09","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:51:06","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:50:58","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:50:52","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:50:50","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:50:42","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:50:37","TP1"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:50:33","TP1"
"C0A0BBED842E","25D3E11750",-60,"2014-12-19 11:50:23","Alice-56283694"
"C0A0BBED842E","4C8D79A35362",-45,"2014-12-19 11:50:08","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:50:04","TP1"
"C0A0BBED842E","4C8D79A35362",-50,"2014-12-19 11:49:34","tasid-netgear"
"C0A0BBED842E","25D3E11750",-62,"2014-12-19 11:49:18","Alice-56283694"
"C0A0BBED842E","6C40089565BE",-41,"2014-12-19 11:49:04","u-hopper-cisco"
"C0A0BBED842E","4C8D79A35362",-45,"2014-12-19 11:48:48","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:48:45","TP1"
"C0A0BBED842E","F8D11121AE96",-68,"2014-12-19 11:48:41","TP1"
"C0A0BBED842E","58A2B5CFF7E7",-73,"2014-12-19 11:48:40","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:48:29","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:48:27","TP1"
"C0A0BBED842E","25D3E11750",-60,"2014-12-19 11:48:19","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 11:48:14","TP1"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 11:47:58","tasid-netgear"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:47:52","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:47:41","TP1"
"C0A0BBED842E","F8D11121AE96",-74,"2014-12-19 11:47:38","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:47:31","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:47:25","TP1"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:47:23","TP1"
"C0A0BBED842E","4C8D79A35362",-54,"2014-12-19 11:47:17","tasid-netgear"
"C0A0BBED842E","25D3E11750",-60,"2014-12-19 11:47:13","Alice-56283694"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 11:47:11","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:47:04","TP1"
"C0A0BBED842E","F8D11121AE96",-70,"2014-12-19 11:46:53","TP1"
"C0A0BBED842E","F8D11121AE96",-63,"2014-12-19 11:46:49","TP1"
"C0A0BBED842E","80EA96A50A26",-60,"2014-12-19 11:46:40","u-hopper-cisco"
"C0A0BBED842E","A4C36177B923",-60,"2014-12-19 11:46:40","u-hopper-cisco"
"C0A0BBED842E","F8D11121AE96",-72,"2014-12-19 11:46:38","TP1"
"C0A0BBED842E","A4C36177B923",-67,"2014-12-19 11:46:33","u-hopper-cisco"
